id,category,country,brand,name,volume,has_image
1,Вино,Грузия,Kartuli Marani,Вино белое полусладкое Алазанская долина Kartuli Marani,0.75,да
2,Вино,Грузия,Kartuli Marani,Вино красное полусладкое Алазанская долина Kartuli Marani,0.75,да
3,Вино,Грузия,Kartuli Marani,Вино розовое полусладкое Алазанская долина Kartuli Marani,0.75,да
4,Вино,Грузия,Kartuli Marani,Вино красное полусладкое Ахашени Kartuli Marani,0.75,да
5,Вино,Грузия,Kartuli Marani,Вино красное полусладкое Киндзмараули Kartuli Marani,0.75,да
6,Вино,Грузия,Kartuli Marani,Вино красное сухое Мукузани Kartuli Marani,0.75,да
7,Вино,Грузия,Kartuli Marani,Вино красное полусладкое Оджалеши Kartuli Marani,0.75,да
8,Вино,Грузия,Kartuli Marani,Вино белое полусухое Пиросмани Kartuli Marani,0.75,да
9,Вино,Грузия,Kartuli Marani,Вино красное полусухое Пиросмани Kartuli Marani,0.75,да
10,Вино,Грузия,Kartuli Marani,Вино красное сухое Саперави Kartuli Marani,0.75,да
11,Вино,Грузия,Kartuli Marani,Вино белое полусладкое Твиши Kartuli Marani,0.75,да
12,Вино,Грузия,Kartuli Marani,Вино красное полусладкое Хванчкара Kartuli Marani,0.75,да
13,Вино,Грузия,Kartuli Marani,Вино белое сухое Цинандали Kartuli Marani,0.75,да
14,Вино,Грузия,Winiveria,Вино красное полусладкое Киндзмараули Winiveria,0.75,
15,Вино,Грузия,Winiveria,Вино белое полусладкое Киси Winiveria,0.75,да
16,Вино,Грузия,Winiveria,Вино красное сухое Мукузани Winiveria,0.75,
17,Вино,Грузия,Winiveria,Вино белое сухое Мцвани Winiveria,0.75,
18,Вино,Грузия,Winiveria,Вино белое сухое Ркацители Winiveria,0.75,
19,Вино,Грузия,Winiveria,Вино красное сухое Саперави Winiveria,0.75,
20,Вино,Грузия,Winiveria,Вино красное полусладкое Хванчкара Winiveria,0.75,
21,Вино,Грузия,Winiveria,Вино белое сухое Хихви Winiveria,0.75,
22,Вино,Грузия,Winiveria,Вино белое сухое Цинандали Winiveria,0.75,
23,Вино,Грузия,Winiveria,Вино розовое полусухое Френч Winiveria,0.75,
24,Вино,Италия,Tralcio,Вино белое сухое Tralcio Bianko,5,
25,Вино,Италия,Tralcio,Вино белое полусладкое Tralcio Bianko semi sweet,5,
26,Вино,Италия,Tralcio,Вино красное сухое Tralcio Rosso,5,
27,Вино,Италия,Tralcio,Вино красное полусладкое Tralcio Rosso semi sweet,5,
28,Вино,Италия,Casa Defra,Вино красное сухое Amarone Casa Defra,0.75,
29,Вино,Италия,Casa Defra,Вино красное сухое Cabernet Sauvignon Casa Defra,0.75,
30,Вино,Италия,Casa Defra,Вино белое сухое Chardonnay Casa Defra,0.75,
31,Вино,Италия,Casa Defra,Вино красное сухое Merlot Casa Defra,0.75,
32,Вино,Италия,Casa Defra,Вино белое сухое Pinot Grigio Casa Defra,0.75,
33,Вино,Италия,Casa Defra,Вино розовое сухое Rose Blush Pinot Grigio Casa Defra,0.75,
34,Вино,Италия,Freschello,Вино белое полусухое Freschello Bianco,0.75,
35,Вино,Италия,Freschello,Вино белое полусладкое Freschello Bianco,0.75,
36,Вино,Италия,Freschello,Вино розовое полусухое Freschello Rose,0.75,
37,Вино,Италия,Freschello,Вино красное полусухое Freschello Rosso,0.75,
38,Вино,Италия,Freschello,Вино красное полусладкое Freschello Rosso,0.75,
39,Вино,Италия,Freschello,Вино красное сухое Gran Bericanto Riserva,0.75,
40,Вино,Италия,Terre di Mario,Вино белое полусухое Terre di Mario Bianco,0.75,
41,Вино,Италия,Terre di Mario,Вино красное сухое Terre di Mario Montepulciano d’Abruzzo,0.75,
42,Вино,Италия,Terre di Mario,Вино белое сухое Terre di Mario Pinot Grigio d’Abruzzo,0.75,
43,Вино,Италия,Terre di Mario,Вино красное полусухое Terre di Mario Rosso,0.75,
44,Вино,Италия,Capo Zafferano,Вино красное полусухое Primitivo Puglia Capo Zafferano,0.75,
45,Вино,Италия,Capo Zafferano,Вино красное сухое Negroamaro Puglia Capo Zafferano,0.75,
46,Вино,Италия,Capo Zafferano,Вино красное сухое Primitivo di Manduria Capo Zafferano,0.75,
47,Вино,Италия,Scantianum,Вино красное сухое Sangiovese Scantianum,0.75,
48,Вино,Италия,Scantianum,Вино белое сухое Vermentino Toscana Scantianum,0.75,
49,Вино,Италия,Scantianum,Вино красное сухое Sangiovese Toscano Vin del Fattore,0.75,
50,Вино,Франция,Lafage,Вино белое сухое Miraflors Lafabuleuse Lafage,0.75,
51,Вино,Франция,Lafage,Вино красное сухое Lafage Narassa,0.75,
52,Вино,Франция,Lafage,Вино красное сухое Nicolas Lafage,0.75,
53,Вино,Франция,Lafage,Вино белое сухое Novellum Lafage,0.75,
54,Вино,Франция,Beauvignac,Вино белое сухое Chardonnay Beauvignac,0.75,
55,Вино,Франция,Beauvignac,Вино красное сухое Cabernet Sauvignon Beauvignac,0.75,
56,Вино,Франция,Beauvignac,Вино белое полусладкое Le Moelleux Blanc Beauvignac,0.75,
57,Вино,Франция,Beauvignac,Вино красное сухое Merlot Beauvignac,0.75,
58,Вино,Франция,Beauvignac,Вино белое сухое Sauvignnon Blanc Beauvignac,0.75,
59,Вино,Франция,Beauvignac,Вино красное сухое Syrah Beauvignac,0.75,
60,Вино,Франция,Beauvignac,Вино красное сухое Vin D'une Nuit Beauvignac,0.75,
61,Виски,Ирландия,Kinahans,Виски Kinahans LL,0.7,
62,Виски,Ирландия,Kinahans,Виски Kinahans LL GB,0.7,
63,Виски,Ирландия,Kinahans,Виски Kinahans Small Batch,0.7,
64,Виски,Ирландия,Kinahans,Виски Kinahans Special Release Project 18 Merlot,0.7,
65,Виски,Ирландия,Kinahans,Виски Kinahans Special Release Project 28 Amarone,0.7,
66,Виски,Ирландия,Kinahans,Виски Kinahans Special Release Project 08 Black Oak,0.7,
67,Виски,Ирландия,Kinahans,Виски Kinahans SRP №04 QUADRAT CASK GT,0.7,
68,Виски,Ирландия,Kinahans,Виски Kinahans Single Malt Heritage Whiskey,0.7,
69,Виски,Ирландия,Kinahans,Виски Kinahans Single Malt Heritage Whiskey GT,0.7,
