127.0.0.1 - - [24/Aug/2026 09:29:48] "HEAD /index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:03] "GET /index.html HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:03] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:03] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:03] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:27] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:27] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:27] "GET /data.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:27] "GET /app.js HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 09:30:29] code 404, message File not found
127.0.0.1 - - [24/Aug/2026 09:30:29] "GET /favicon.ico HTTP/1.1" 404 -
127.0.0.1 - - [24/Aug/2026 11:17:08] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 11:17:08] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Aug/2026 11:17:08] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Aug/2026 11:17:08] "GET /data.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Aug/2026 16:58:11] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [24/Aug/2026 16:58:11] "GET /style.css HTTP/1.1" 304 -
127.0.0.1 - - [24/Aug/2026 16:58:11] "GET /app.js HTTP/1.1" 304 -
127.0.0.1 - - [24/Aug/2026 16:58:11] "GET /data.js HTTP/1.1" 304 -
